| Process Id | Arrival Time | Burst Time | Completion Time | Turn Around Time | Waiting Time | Response Time |
|       2905 |          740 |          1 |             743 |                3 |            2 |             2 |
|       2945 |           92 |          1 |             113 |               21 |           20 |            20 |
|       2951 |          603 |          1 |             605 |                2 |            1 |             1 |
|       2967 |          714 |          1 |             720 |                6 |            5 |             5 |
|       2972 |          692 |          1 |             693 |                1 |            0 |             0 |
|       3008 |          218 |          1 |             219 |                1 |            0 |             0 |
|       3036 |          860 |          1 |             862 |                2 |            1 |             1 |
|       3055 |          242 |          1 |             249 |                7 |            6 |             6 |
|       3071 |          909 |          1 |             912 |                3 |            2 |             2 |
|       3072 |          762 |          1 |             764 |                2 |            1 |             1 |
|       3079 |          948 |          1 |             952 |                4 |            3 |             3 |
|       3083 |          466 |          1 |             469 |                3 |            2 |             2 |
|       3113 |          940 |          1 |             942 |                2 |            1 |             1 |
|       3145 |           21 |          1 |              75 |               54 |           53 |            53 |
|       3156 |          970 |          1 |             973 |                3 |            2 |             2 |
|       3177 |          925 |          1 |             928 |                3 |            2 |             2 |
|       3200 |          480 |          1 |             490 |               10 |            9 |             9 |
|       3227 |          765 |          1 |             766 |                1 |            0 |             0 |
|       3421 |          198 |          1 |             201 |                3 |            2 |             2 |
|       3443 |          155 |          1 |             159 |                4 |            3 |             3 |
|       3483 |          619 |          1 |             621 |                2 |            1 |             1 |
|       3496 |          955 |          1 |             956 |                1 |            0 |             0 |
|       3519 |          273 |          1 |             275 |                2 |            1 |             1 |
|       3552 |          596 |          1 |             597 |                1 |            0 |             0 |
|       3566 |           97 |          1 |             115 |               18 |           17 |            17 |
|       3671 |          894 |          1 |             896 |                2 |            1 |             1 |
|       3754 |          934 |          1 |             938 |                4 |            3 |             3 |
|       3774 |          706 |          1 |             709 |                3 |            2 |             2 |
|       3784 |          784 |          1 |             786 |                2 |            1 |             1 |
|       3786 |          706 |          1 |             711 |                5 |            4 |             4 |
|       3827 |          768 |          1 |             773 |                5 |            4 |             4 |
|       3856 |          256 |          1 |             259 |                3 |            2 |             2 |
|       3881 |          482 |          1 |             498 |               16 |           15 |            15 |
|       3916 |          192 |          1 |             197 |                5 |            4 |             4 |
|       3938 |          493 |          1 |             502 |                9 |            8 |             8 |
|       3958 |          592 |          1 |             593 |                1 |            0 |             0 |
|       4003 |          830 |          1 |             835 |                5 |            4 |             4 |
|       4029 |          263 |          1 |             265 |                2 |            1 |             1 |
|       4036 |          983 |          1 |             988 |                5 |            4 |             4 |
|       4049 |          182 |          1 |             203 |               21 |           20 |            20 |
|       4143 |          701 |          1 |             703 |                2 |            1 |             1 |
|       4175 |          218 |          1 |             221 |                3 |            2 |             2 |
|       4202 |          630 |          1 |             631 |                1 |            0 |             0 |
|       4220 |          218 |          1 |             235 |               17 |           16 |            16 |
|       4236 |          465 |          1 |             471 |                6 |            5 |             5 |
|       4245 |          880 |          1 |             882 |                2 |            1 |             1 |
|       4351 |          600 |          1 |             603 |                3 |            2 |             2 |
|       4430 |          753 |          1 |             758 |                5 |            4 |             4 |
|       4454 |          204 |          1 |             209 |                5 |            4 |             4 |
|       4536 |          313 |          1 |             334 |               21 |           20 |            20 |
|       4555 |          390 |          1 |             391 |                1 |            0 |             0 |
|       4582 |          414 |          1 |             417 |                3 |            2 |             2 |
|       4696 |          583 |          1 |             587 |                4 |            3 |             3 |
|       4815 |          609 |          1 |             613 |                4 |            3 |             3 |
|       4850 |          893 |          1 |             894 |                1 |            0 |             0 |
|       4891 |          955 |          1 |             958 |                3 |            2 |             2 |
|       4920 |          725 |          1 |             727 |                2 |            1 |             1 |
|       5006 |          873 |          1 |             874 |                1 |            0 |             0 |
|       5042 |          470 |          1 |             473 |                3 |            2 |             2 |
|       5071 |          716 |          1 |             722 |                6 |            5 |             5 |
|       5124 |          220 |          1 |             237 |               17 |           16 |            16 |
|       5179 |          285 |          1 |             287 |                2 |            1 |             1 |
|       5208 |          441 |          1 |             444 |                3 |            2 |             2 |
|       5247 |          932 |          1 |             940 |                8 |            7 |             7 |
|       5271 |          609 |          1 |             619 |               10 |            9 |             9 |
|       5306 |          816 |          1 |             818 |                2 |            1 |             1 |
|       5316 |          565 |          1 |             567 |                2 |            1 |             1 |
|       5369 |          905 |          1 |             907 |                2 |            1 |             1 |
|       5402 |          165 |          1 |             167 |                2 |            1 |             1 |
|       5438 |          315 |          1 |             336 |               21 |           20 |            20 |
|       5452 |          405 |          1 |             409 |                4 |            3 |             3 |
|       5481 |          579 |          1 |             607 |               28 |           27 |            27 |
|       5513 |          269 |          1 |             271 |                2 |            1 |             1 |
|       5571 |          700 |          1 |             705 |                5 |            4 |             4 |
|       5593 |          321 |          1 |             338 |               17 |           16 |            16 |
|       5602 |          644 |          1 |             657 |               13 |           12 |            12 |
|       5628 |          468 |          1 |             475 |                7 |            6 |             6 |
|       5643 |          231 |          1 |             239 |                8 |            7 |             7 |
|       5671 |          859 |          1 |             866 |                7 |            6 |             6 |
|       5680 |          218 |          1 |             251 |               33 |           32 |            32 |
|       5689 |          225 |          1 |             255 |               30 |           29 |            29 |
|       5747 |          953 |          1 |             954 |                1 |            0 |             0 |
